thrs,result,step
0.2400,0.0639,130
0.2800,0.1276,261
0.1600,0.1391,392
0.3800,0.1787,523
0.3400,0.1748,654
0.4600,0.1783,785
0.2200,0.1750,916
0.2000,0.1564,1047
0.4000,0.1920,1178
0.3000,0.1789,1309
0.4400,0.1794,1440
0.3400,0.1857,1571
0.3800,0.1912,1702
0.4200,0.1905,1833
0.4000,0.1916,1964
0.4600,0.2015,2095
0.3400,0.1954,2226
0.3800,0.1873,2357
0.3600,0.1878,2488
0.4400,0.1918,2619
0.4000,0.1666,2750
0.3400,0.1913,2881
0.3800,0.1908,3012
0.4000,0.1948,3143
0.5200,0.1948,3274
0.2400,0.1843,3405
0.2600,0.1950,3536
0.3800,0.2049,3667
0.4000,0.1941,3798
0.3600,0.2013,3929
0.3600,0.1943,4060
0.3400,0.1999,4191
0.3800,0.1939,4322
0.3600,0.1985,4453
0.4200,0.1989,4584
0.3800,0.1974,4715
0.3600,0.2037,4846
0.3400,0.1923,4977
0.3800,0.2088,5108
0.3800,0.2046,5239
0.3600,0.2020,5370
0.3600,0.2044,5501
0.4200,0.1935,5632
0.3800,0.1941,5763
0.3000,0.1864,5894
0.4200,0.2036,6025
0.3000,0.1924,6156
0.3800,0.1909,6287
0.2800,0.2072,6418
0.3800,0.2143,6549
0.3600,0.2061,6680
0.4000,0.1998,6811
0.3600,0.2019,6942
0.3200,0.2069,7073
0.3600,0.2072,7204
0.3200,0.2040,7335
0.3600,0.2001,7466
0.3800,0.2050,7597
0.3600,0.2094,7728
0.4000,0.1966,7859
0.3600,0.2107,7990
0.3400,0.2107,8121
0.3600,0.2106,8252
0.3200,0.2092,8383
0.3200,0.2114,8514
0.3200,0.2078,8645
0.3400,0.1969,8776
0.3600,0.2128,8907
0.3600,0.1901,9038
0.3600,0.2110,9169
0.4200,0.2023,9300
0.4000,0.2061,9431
0.3400,0.2035,9562
0.4000,0.1855,9693
0.3400,0.2134,9824
0.3200,0.2097,9955
0.3800,0.2019,10086
0.3800,0.2110,10217
0.3400,0.2085,10348
0.3000,0.2126,10479
0.2800,0.1950,10610
0.3400,0.2084,10741
0.3000,0.2077,10872
0.3800,0.1956,11003
0.3000,0.2050,11134
0.3400,0.2036,11265
0.3400,0.2059,11396
0.4200,0.2088,11527
0.4000,0.1937,11658
0.3400,0.2064,11789
0.2600,0.2076,11920
0.3000,0.1922,12051
0.3800,0.2052,12182
0.3000,0.2053,12313
0.3200,0.1968,12444
0.3400,0.2069,12575
0.3600,0.1865,12706
0.3800,0.2014,12837
0.3800,0.1888,12968
0.3200,0.2126,13099
0.3400,0.2112,13230
0.3200,0.1924,13361
0.3200,0.1921,13492
0.3200,0.1927,13623
0.4000,0.2006,13754
0.2800,0.2045,13885
0.3200,0.2044,14016
0.3400,0.2066,14147
0.3600,0.2114,14278
0.3000,0.2101,14409
0.3800,0.2014,14540
0.2400,0.2099,14671
0.3000,0.2000,14802
0.2800,0.2071,14933
0.3400,0.2008,15064
