thrs,result,step
0.4600,0.1963,2488
0.3600,0.1975,2619
0.3600,0.1828,2750
0.2600,0.1815,2881
0.3600,0.1914,3012
0.3600,0.1898,3143
0.3600,0.1920,3274
0.3600,0.1966,3405
0.3600,0.2057,3536
0.4600,0.2058,3667
0.3600,0.2076,3798
0.3600,0.2047,3929
0.3600,0.2043,4060
0.3600,0.2017,4191
0.3600,0.2024,4322
0.3600,0.1946,4453
0.3600,0.2039,4584
0.3600,0.2018,4715
0.3600,0.1946,4846
0.3600,0.2019,4977
0.3600,0.2099,5108
0.3600,0.1994,5239
0.3600,0.1966,5370
0.3600,0.2022,5501
0.2600,0.2033,5632
0.3600,0.2074,5763
0.3600,0.2060,5894
0.3600,0.2088,6025
0.2600,0.2056,6156
0.3600,0.2077,6287
0.3600,0.2071,6418
0.2600,0.2031,6549
0.3600,0.2057,6680
0.4600,0.1979,6811
0.3600,0.2062,6942
0.3600,0.2039,7073
0.3600,0.1986,7204
0.2600,0.2065,7335
0.3600,0.2080,7466
0.3600,0.2018,7597
0.3600,0.2080,7728
0.3600,0.2118,7859
0.2600,0.1949,7990
0.3600,0.2045,8121
0.3600,0.2100,8252
0.2600,0.2097,8383
0.3600,0.2066,8514
0.3600,0.2098,8645
0.3600,0.2022,8776
0.3600,0.2011,8907
0.3600,0.1902,9038
0.3600,0.2101,9169
0.3600,0.2075,9300
0.3600,0.2065,9431
0.3600,0.2072,9562
0.3600,0.2083,9693
0.2600,0.2084,9824
0.3600,0.2112,9955
0.3600,0.2106,10086
0.3600,0.2039,10217
0.2600,0.2096,10348
0.3600,0.2086,10479
0.3600,0.2064,10610
0.2600,0.2075,10741
0.2600,0.2085,10872
0.2600,0.2048,11003
0.2600,0.2089,11134
0.3600,0.2093,11265
0.2600,0.2109,11396
0.2600,0.2092,11527
0.2600,0.2072,11658
0.2600,0.2091,11789
0.3600,0.2076,11920
0.2600,0.2075,12051
0.2600,0.2108,12182
0.2600,0.2120,12313
0.2600,0.2090,12444
0.2600,0.2097,12575
0.2600,0.2093,12706
0.2600,0.2098,12837
0.2600,0.2084,12968
0.2600,0.2078,13099
0.2600,0.2076,13230
0.2600,0.2076,13361
0.2600,0.2078,13492
0.2600,0.2086,13623
0.2600,0.2082,13754
0.2600,0.2069,13885
0.2600,0.2078,14016
0.2600,0.2084,14147
0.2600,0.2077,14278
0.2600,0.2080,14409
0.2600,0.2082,14540
0.2600,0.2082,14671
0.2600,0.2083,14802
0.2600,0.2084,14933
0.2600,0.2083,15064
