thrs,result,step
0.3000,0.0668,221
0.4400,0.1276,443
0.4000,0.1470,665
0.4200,0.1782,887
0.4400,0.1634,1109
0.3600,0.1797,1331
0.4600,0.1878,1553
0.3800,0.1901,1775
0.5400,0.1891,1997
0.4000,0.1888,2219
0.4200,0.1890,2441
0.4000,0.1862,2663
0.3800,0.1989,2885
0.4200,0.1947,3107
0.4600,0.1955,3329
0.3200,0.1827,3551
0.4600,0.2048,3773
0.3800,0.1932,3995
0.3600,0.1928,4217
0.4800,0.2055,4439
0.4800,0.1856,4661
0.4600,0.1824,4883
0.5000,0.1983,5105
0.3800,0.1974,5327
0.5200,0.2092,5549
0.4200,0.2019,5771
0.4400,0.2017,5993
0.4200,0.2004,6215
0.5600,0.2083,6437
0.4800,0.1959,6659
0.5200,0.1909,6881
0.3400,0.1936,7103
0.4400,0.1815,7325
0.5400,0.1984,7547
0.3600,0.1865,7769
0.4600,0.1949,7991
0.3600,0.1848,8213
0.4800,0.1992,8435
0.4800,0.1876,8657
0.2800,0.1877,8879
0.2600,0.1887,9101
0.6200,0.1929,9323
0.3000,0.2013,9545
0.6600,0.1982,9767
0.3600,0.1990,9989
0.3400,0.1968,10211
