thr0,thr1,thr2,result,step
0.350,0.350,0.750,0.247,1009
0.350,0.250,0.750,0.297,2019
0.250,0.350,0.550,0.300,3029
0.350,0.250,0.750,0.302,4039
0.450,0.450,0.850,0.289,5049
0.450,0.350,0.650,0.302,6059
0.350,0.350,0.850,0.304,7069
0.350,0.450,0.750,0.313,8079
0.450,0.450,0.750,0.321,9089
0.450,0.450,0.650,0.303,10099
0.450,0.550,0.650,0.318,11109
0.350,0.450,0.750,0.314,12119
0.450,0.450,0.850,0.318,13129
0.450,0.550,0.750,0.304,14139
0.350,0.350,0.850,0.326,15149
0.350,0.450,0.850,0.309,16159
0.350,0.450,0.850,0.307,17169
0.350,0.350,0.750,0.317,18179
0.350,0.350,0.750,0.311,19189
0.450,0.450,0.850,0.297,20199
